iter	Passed	Remaining
660	955	490
661	956	488
662	958	487
663	959	485
664	961	484
665	962	482
666	963	481
667	965	479
668	966	478
669	967	476
670	969	475
671	970	473
672	971	472
673	973	470
674	974	469
675	976	467
676	977	466
677	978	464
678	980	463
679	981	461
680	982	460
681	984	458
682	985	457
683	987	456
684	988	454
685	990	453
686	991	451
687	992	450
688	994	448
689	995	447
690	996	445
691	997	443
692	998	442
693	999	440
694	1000	439
695	1002	437
696	1003	436
697	1004	434
698	1006	433
699	1007	431
700	1008	430
701	1009	428
702	1010	427
703	1011	425
704	1012	423
705	1014	422
706	1015	420
707	1016	419
708	1017	417
709	1019	416
710	1020	414
711	1021	413
712	1022	411
713	1023	410
714	1025	408
715	1026	407
716	1027	405
717	1028	404
718	1029	402
719	1031	400
720	1032	399
721	1033	398
722	1034	396
723	1036	394
724	1037	393
725	1038	391
726	1039	390
727	1040	388
728	1041	387
729	1043	385
730	1044	384
731	1045	382
732	1046	381
733	1047	379
734	1049	378
735	1050	376
736	1051	375
737	1052	373
738	1053	372
739	1054	370
740	1056	369
741	1057	367
742	1058	366
743	1060	364
744	1061	363
745	1063	361
746	1064	360
747	1066	359
748	1067	357
749	1069	356
750	1071	355
751	1072	353
752	1074	352
753	1075	350
754	1077	349
755	1079	348
756	1080	346
757	1081	345
758	1083	343
759	1084	342
760	1086	341
761	1087	339
762	1089	338
763	1090	336
764	1092	335
765	1093	334
766	1095	332
767	1097	331
768	1098	330
769	1100	328
770	1101	327
771	1103	325
772	1105	324
773	1106	323
774	1108	321
775	1110	320
776	1111	319
777	1112	317
778	1114	316
779	1115	314
780	1116	313
781	1118	311
782	1119	310
783	1121	308
784	1122	307
785	1123	305
786	1125	304
787	1126	303
788	1128	301
789	1129	300
790	1130	298
791	1132	297
792	1133	295
793	1134	294
794	1136	293
795	1137	291
796	1139	290
797	1140	288
798	1142	287
799	1143	285
800	1145	284
801	1146	283
802	1147	281
803	1148	280
804	1149	278
805	1151	277
806	1152	275
807	1154	274
808	1155	272
809	1157	271
810	1158	269
811	1159	268
812	1161	267
813	1162	265
814	1163	264
815	1165	262
816	1166	261
817	1168	259
818	1169	258
819	1171	257
820	1172	255
821	1174	254
822	1175	252
823	1176	251
824	1178	249
825	1179	248
826	1181	247
827	1182	245
828	1184	244
829	1185	242
830	1187	241
831	1188	239
832	1189	238
833	1191	237
834	1192	235
835	1193	234
836	1195	232
837	1196	231
838	1198	230
839	1200	228
840	1202	227
841	1203	225
842	1204	224
843	1205	222
844	1207	221
845	1209	220
846	1210	218
847	1212	217
848	1213	215
849	1215	214
850	1216	213
851	1218	211
852	1219	210
853	1220	208
854	1221	207
855	1223	205
856	1224	204
857	1225	202
858	1227	201
859	1228	200
860	1230	198
861	1231	197
862	1232	195
863	1234	194
864	1236	192
865	1237	191
866	1238	190
867	1240	188
868	1242	187
869	1244	185
870	1245	184
871	1247	183
872	1249	181
873	1250	180
874	1252	178
875	1254	177
876	1256	176
877	1258	174
878	1259	173
879	1261	172
880	1263	170
881	1264	169
882	1266	167
883	1267	166
884	1269	164
885	1270	163
886	1272	162
887	1273	160
888	1275	159
889	1277	157
890	1279	156
891	1280	155
892	1282	153
893	1283	152
894	1285	150
895	1287	149
896	1289	148
897	1290	146
898	1291	145
899	1293	143
900	1294	142
901	1295	140
902	1297	139
903	1298	137
904	1300	136
905	1302	135
906	1303	133
907	1305	132
908	1306	130
909	1308	129
910	1309	127
911	1311	126
912	1312	125
913	1313	123
914	1315	122
915	1316	120
916	1318	119
917	1320	117
918	1322	116
919	1323	115
920	1325	113
921	1327	112
922	1328	110
923	1330	109
924	1332	108
925	1333	106
926	1335	105
927	1337	103
928	1339	102
929	1340	100
930	1343	99
931	1344	98
932	1346	96
933	1348	95
934	1350	93
935	1352	92
936	1354	91
937	1356	89
938	1357	88
939	1359	86
940	1361	85
941	1362	83
942	1364	82
943	1365	81
944	1366	79
945	1368	78
946	1369	76
947	1371	75
948	1372	73
949	1374	72
950	1375	70
951	1377	69
952	1379	68
953	1380	66
954	1382	65
955	1383	63
956	1385	62
957	1386	60
958	1388	59
959	1389	57
960	1391	56
961	1393	55
962	1394	53
963	1396	52
964	1397	50
965	1398	49
966	1399	47
